linha,ano,Grupo 1 (Crítico),Grupo 2 (Moderado),Grupo 3 (Variável),Grupo 4 (Baixo),Outros
LT 69 kV ITARARE II / ITARARE I C 1 SP,1995,47.18679759513294,21.8723949064973,28.538090199235164,2.4027172991346015,0.0
LT 88 kV ASSIS / CANOAS I C 1 SP,1995,19.355622798749938,6.15713411710237,70.2917638110356,4.195479273112092,0.0
LT 88 kV ASSIS / DECASA C 1 SP,1995,27.11817771806293,8.46127007930077,61.1855498057429,3.235002396893399,0.0
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,1995,66.74302792670855,15.678729526197376,14.062722088977727,3.5155204581163395,0.0
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,1995,66.74531635149151,15.678144311497158,14.06065931663586,3.5158800203754774,0.0
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,1995,52.51462946734939,17.88180954559565,26.239083786815904,3.3644772002390577,0.0
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,1995,21.235679512984323,6.189729899807565,69.23455658161835,3.34003400558976,0.0
LT 88 kV CANOAS II / DECASA C 1 SP,1995,17.826045231594865,5.279034462851197,74.19430891052897,2.700611395024963,0.0
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,1995,14.954744609968746,4.936212353813389,76.94753591471729,3.1615071215005797,0.0
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,1995,54.77007612406214,12.55118159277439,26.837731934629307,5.841010348534163,0.0
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,1995,52.18816899521852,16.99988757890406,26.97312179031791,3.83882163555951,0.0
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,1995,43.04707902715457,13.247303256856883,36.76320489386768,6.942412822120871,0.0
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,1995,32.96297980932881,10.917802834609747,48.45109357932447,7.668123776736974,0.0
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,1995,40.6593497123815,23.992511415148936,27.33930745007095,8.008831422398613,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,1995,29.78634176973391,11.007866996598946,40.24551704149989,18.960274192167255,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,1995,29.783174537306913,11.006271702032128,40.25031918385539,18.960234576805572,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,1995,16.937167259844426,37.979117835940976,34.83340983409681,10.250305070117784,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,1995,16.93619797497832,37.97821493565447,34.83584866484548,10.249738424521734,0.0
LT 88 kV OURINHOS / CHAVANTES C 1 SP,1995,40.012969128662974,12.517013211673419,38.01879020279548,9.451227456868125,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,1995,49.30818180822484,12.574302196951088,34.93607546709267,3.181440527731403,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,1995,49.30791936143797,12.574173849029178,34.93628383246743,3.1816229570654184,0.0
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,1995,76.93132602968433,8.243591900312689,12.048111429448518,2.7769706405544614,0.0
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 1 SP,1995,72.34299028199881,4.76145853077793,12.138237129451953,10.757314057771312,0.0
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 2 SP,1995,72.34083797180915,4.760748376267193,12.139066936774007,10.759346715149656,0.0
LT 88 kV PRE. PRUDENTE / QUATA II C 1 SP,1995,79.19029492451162,7.785689374203342,10.373555051099922,2.6504606501851167,0.0
LT 88 kV QUATA II / PAR.PAULISTA2 C 1 SP,1995,71.83552153049958,8.520729875824825,18.155321008262646,1.4884275854129492,0.0
LT 88 kV SALTO GRANDE / OURINHOS C 1 SP,1995,24.855750175087426,7.412014914291928,61.5008763140326,6.231358596588046,0.0
RL 88 kV ASSIS I / DS31 C 1 SP,1995,36.114401069854935,13.842012877002366,45.4334900618701,4.610095991272594,0.0
RL 88 kV ASSIS I / DS32 C 2 SP,1995,36.01042923160581,14.240825269631417,44.9606512601693,4.78809423859347,0.0
RL 88 kV OURINHOS 1 / DOA1 C 1 SP,1995,29.222389400142294,7.857284486277803,54.20926787734584,8.711058236234065,0.0
RL 88 kV OURINHOS 1 / DOA2 C 2 SP,1995,29.230166485155326,7.8559818286548495,54.204572220136335,8.709279466053493,0.0
RL 88 kV OURINHOS 2 / DOU1 C 1 SP,1995,33.27674334175218,7.193284422168302,50.465561507661846,9.064410728417666,0.0
RL 88 kV OURINHOS 2 / RLOU2 C 2 SP,1995,33.27152885137676,7.193519408348306,50.47136798562654,9.063583754648393,0.0
RL 88 kV PALMITAL / DPMT C 1 SP,1995,24.137467957453026,4.834129212928403,69.86440423573835,1.163998593880219,0.0
RL 88 kV SANTA LINA / DSAL C 1 SP,1995,76.12097671334983,7.065028073579372,16.127231933837,0.6867632792337917,0.0
LT 138 kV AGUA AZUL / MAIRIPORA C 1 SP,1995,3.5394833814660807,57.12260888170891,24.294112785725687,15.043794951099317,0.0
LT 138 kV AGUA AZUL / MAIRIPORA C 2 SP,1995,3.5389405702010044,57.114383149993266,24.296982613724982,15.049693666080747,0.0
LT 138 kV AGUA AZUL / SANTO ANGELO C 1 SP,1995,4.137544520518083,34.81221120620977,37.59144888969217,23.458795383579986,0.0
LT 138 kV AGUA AZUL / SANTO ANGELO C 2 SP,1995,4.1379835238583755,34.812290748165246,37.58933958277672,23.460386145199664,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 1 SP,1995,52.12704266238862,6.483912188956254,29.210506212193817,12.178538936461306,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 2 SP,1995,52.116891210418416,6.483039004820704,29.20943587179741,12.190633912963474,0.0
LT 138 kV AGUA VERMELHA / GUARIROBA 1 C 1 SP,1995,66.803358978913,7.747080817059267,19.517690625048093,5.9318695789796365,0.0
LT 138 kV ALCIDIA / MIRANTE PAR 2 C 1 SP,1995,75.41841458059612,11.319250513020332,13.03305951035847,0.22927539602508318,0.0
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 1 SP,1995,84.54342179511836,3.414641105247474,9.007821861903242,3.03411523773092,0.0
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 2 SP,1995,84.53935428924954,3.4144192074354636,9.008874309410508,3.0373521939044794,0.0
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 1 SP,1995,52.72354224210321,17.849843410844525,22.799301818335454,6.627312528716814,0.0
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 2 SP,1995,52.72556843873668,17.848629773020573,22.798807838167,6.6269939500757475,0.0
LT 138 kV ARARAS / BALDIN C 1 SP,1995,44.704175442658666,11.399006527239257,37.24283889208221,6.653979138019865,0.0
LT 138 kV ARARAS / P.FERREIRA C 1 SP,1995,41.38482326393395,12.521351508630614,39.83579224563445,6.258032981800979,0.0
LT 138 kV ARARAS / RIO CLARO-I C 1 SP,1995,52.633510821183314,9.186932186012223,25.856851247835607,12.322705744968854,0.0
LT 138 kV ARARAS / RIO CLARO-I C 2 SP,1995,52.63619992040842,9.187562035748076,25.861067796846378,12.315170246997122,0.0
LT 138 kV ARARAS / SAO CARLOS C 1 SP,1995,49.60898736728417,20.816210985277987,22.237333821554234,7.337467825883605,0.0
LT 138 kV ARARAS / SAO CARLOS C 2 SP,1995,49.60893127026693,20.814005547939832,22.238428073457637,7.338635108335603,0.0
LT 138 kV ATIBAIA II / BRA. PAULISTA C 1 SP,1995,33.53201455568938,17.463103587304605,41.046119552851685,7.958762304154329,0.0
LT 138 kV ATIBAIA II / BRA. PAULISTA C 2 SP,1995,33.53161684536583,17.463332318799818,41.04507225661791,7.959978579216446,0.0
