linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,6.424311520576139,366,7305,1,5.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,6.424311520576139,402,7305,1,5.5
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,6.424311520576139,421,7305,1,5.76
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,6.424311520576139,372,7305,1,5.09
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,6.424311520576139,481,7305,1,6.58
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,6.424311520576139,570,7305,1,7.8
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,6.424311520576139,665,7305,1,9.1
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,6.424311520576139,422,7305,1,5.78
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,6.424311520576139,474,7305,1,6.49
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,6.424311520576139,497,7305,1,6.8
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,7.090930845737457,472,7305,2,6.46
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,7.090930845737457,715,7305,2,9.79
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,7.090930845737457,734,7305,2,10.05
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,7.090930845737457,791,7305,2,10.83
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,7.090930845737457,894,7305,2,12.24
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,7.090930845737457,938,7305,2,12.84
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,7.090930845737457,1003,7305,2,13.73
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,7.090930845737457,689,7305,2,9.43
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,7.090930845737457,802,7305,2,10.98
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,7.090930845737457,897,7305,2,12.28
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,7.121710892927057,366,7305,1,5.01
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,7.121710892927057,551,7305,1,7.54
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,7.121710892927057,571,7305,1,7.82
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,7.121710892927057,631,7305,1,8.64
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,7.121710892927057,745,7305,1,10.2
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,7.121710892927057,797,7305,1,10.91
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,7.121710892927057,858,7305,1,11.75
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,7.121710892927057,560,7305,1,7.67
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,7.121710892927057,664,7305,1,9.09
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,7.121710892927057,732,7305,1,10.02
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,6.589606386444089,366,7305,1,5.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,6.589606386444089,616,7305,1,8.43
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,6.589606386444089,655,7305,1,8.97
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,6.589606386444089,725,7305,1,9.92
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,6.589606386444089,1137,7305,1,15.56
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,6.589606386444089,1352,7305,1,18.51
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,6.589606386444089,1472,7305,1,20.15
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,6.589606386444089,649,7305,1,8.88
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,6.589606386444089,788,7305,1,10.79
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,6.589606386444089,892,7305,1,12.21
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,6.589606386444089,366,7305,1,5.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,6.589606386444089,616,7305,1,8.43
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,6.589606386444089,655,7305,1,8.97
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,6.589606386444089,725,7305,1,9.92
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,6.589606386444089,1137,7305,1,15.56
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,6.589606386444089,1352,7305,1,18.51
