linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,20,7305,0.27
LT 88 kV CANOAS II / DECASA C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,11,7305,0.15
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,12,7305,0.16
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,15,7305,0.21
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,5,7305,0.07
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,11,7305,0.15
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,10.278323125839233,-262.87167687416076,13,7305,0.18
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,10.278323125839233,-262.87167687416076,14,7305,0.19
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,10.278323125839233,-262.87167687416076,12,7305,0.16
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,10.278323125839233,-262.87167687416076,10,7305,0.14
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,10.278323125839233,-262.87167687416076,15,7305,0.21
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,10.278323125839233,-262.87167687416076,16,7305,0.22
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,historical,1995-2014,10.278323125839233,-262.87167687416076,7,7305,0.1
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2021-2040,10.278323125839233,-262.87167687416076,8,7305,0.11
