linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,7.397221827291622,74,7305,1,1.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,7.397221827291622,101,7305,1,1.38
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,7.397221827291622,115,7305,1,1.57
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,7.397221827291622,108,7305,1,1.48
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,7.397221827291622,138,7305,1,1.89
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,7.397221827291622,158,7305,1,2.16
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,7.397221827291622,187,7305,1,2.56
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,7.397221827291622,126,7305,1,1.72
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,7.397221827291622,131,7305,1,1.79
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,7.397221827291622,139,7305,1,1.9
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,8.211211264133453,94,7305,2,1.29
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,8.211211264133453,177,7305,2,2.42
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,8.211211264133453,189,7305,2,2.59
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,8.211211264133453,227,7305,2,3.11
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,8.211211264133453,235,7305,2,3.22
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,8.211211264133453,262,7305,2,3.59
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,8.211211264133453,308,7305,2,4.22
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,8.211211264133453,174,7305,2,2.38
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,8.211211264133453,213,7305,2,2.92
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,8.211211264133453,251,7305,2,3.44
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,8.211374878883362,74,7305,1,1.01
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,8.211374878883362,134,7305,1,1.83
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,8.211374878883362,141,7305,1,1.93
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,8.211374878883362,172,7305,1,2.35
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,8.211374878883362,197,7305,1,2.7
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,8.211374878883362,225,7305,1,3.08
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,8.211374878883362,261,7305,1,3.57
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,8.211374878883362,137,7305,1,1.88
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,8.211374878883362,169,7305,1,2.31
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,8.211374878883362,202,7305,1,2.77
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,7.654868297102005,74,7305,1,1.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,7.654868297102005,147,7305,1,2.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,7.654868297102005,155,7305,1,2.12
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,7.654868297102005,180,7305,1,2.46
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,7.654868297102005,342,7305,1,4.68
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,7.654868297102005,442,7305,1,6.05
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,7.654868297102005,495,7305,1,6.78
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,7.654868297102005,166,7305,1,2.27
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,7.654868297102005,200,7305,1,2.74
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,7.654868297102005,240,7305,1,3.29
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,7.654868297102005,74,7305,1,1.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,7.654868297102005,147,7305,1,2.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,7.654868297102005,155,7305,1,2.12
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,7.654868297102005,180,7305,1,2.46
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,7.654868297102005,342,7305,1,4.68
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,7.654868297102005,442,7305,1,6.05
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,7.654868297102005,495,7305,1,6.78
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,7.654868297102005,166,7305,1,2.27
