linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,7.206084472841335,-265.94391552715865,99,7305,1.36
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,7.206084472841335,-265.94391552715865,132,7305,1.81
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,7.206084472841335,-265.94391552715865,139,7305,1.9
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,7.206084472841335,-265.94391552715865,136,7305,1.86
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,7.206084472841335,-265.94391552715865,173,7305,2.37
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,7.206084472841335,-265.94391552715865,195,7305,2.67
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,7.206084472841335,-265.94391552715865,233,7305,3.19
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,7.206084472841335,-265.94391552715865,158,7305,2.16
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,7.206084472841335,-265.94391552715865,162,7305,2.22
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,7.206084472841335,-265.94391552715865,170,7305,2.33
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,7.206084472841335,-265.94391552715865,394,7305,5.39
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,7.206084472841335,-265.94391552715865,626,7305,8.57
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,7.206084472841335,-265.94391552715865,649,7305,8.88
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,7.206084472841335,-265.94391552715865,690,7305,9.45
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,7.206084472841335,-265.94391552715865,781,7305,10.69
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,7.206084472841335,-265.94391552715865,838,7305,11.47
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,7.206084472841335,-265.94391552715865,908,7305,12.43
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,7.206084472841335,-265.94391552715865,593,7305,8.12
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,7.206084472841335,-265.94391552715865,701,7305,9.6
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,7.206084472841335,-265.94391552715865,804,7305,11.01
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,7.206084472841335,-265.94391552715865,317,7305,4.34
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,7.206084472841335,-265.94391552715865,500,7305,6.84
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,7.206084472841335,-265.94391552715865,521,7305,7.13
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,7.206084472841335,-265.94391552715865,574,7305,7.86
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,7.206084472841335,-265.94391552715865,665,7305,9.1
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,7.206084472841335,-265.94391552715865,720,7305,9.86
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,7.206084472841335,-265.94391552715865,797,7305,10.91
