linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,25,7305,0.34
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,37,7305,0.51
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,45,7305,0.62
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,8.121393394470214,-265.0286066055298,41,7305,0.56
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,8.121393394470214,-265.0286066055298,48,7305,0.66
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,8.121393394470214,-265.0286066055298,59,7305,0.81
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,8.121393394470214,-265.0286066055298,80,7305,1.1
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,8.121393394470214,-265.0286066055298,43,7305,0.59
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,8.121393394470214,-265.0286066055298,48,7305,0.66
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,8.121393394470214,-265.0286066055298,50,7305,0.68
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,103,7305,1.41
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,205,7305,2.81
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,207,7305,2.83
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,8.121393394470214,-265.0286066055298,246,7305,3.37
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,8.121393394470214,-265.0286066055298,267,7305,3.66
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,8.121393394470214,-265.0286066055298,286,7305,3.92
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,8.121393394470214,-265.0286066055298,336,7305,4.6
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,8.121393394470214,-265.0286066055298,195,7305,2.67
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,8.121393394470214,-265.0286066055298,237,7305,3.24
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,8.121393394470214,-265.0286066055298,275,7305,3.76
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,82,7305,1.12
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,155,7305,2.12
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,158,7305,2.16
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,8.121393394470214,-265.0286066055298,187,7305,2.56
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,8.121393394470214,-265.0286066055298,233,7305,3.19
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,8.121393394470214,-265.0286066055298,246,7305,3.37
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,8.121393394470214,-265.0286066055298,280,7305,3.83
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,8.121393394470214,-265.0286066055298,156,7305,2.14
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,8.121393394470214,-265.0286066055298,194,7305,2.66
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,8.121393394470214,-265.0286066055298,225,7305,3.08
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,41,7305,0.56
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,81,7305,1.11
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,79,7305,1.08
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,8.121393394470214,-265.0286066055298,99,7305,1.36
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,8.121393394470214,-265.0286066055298,199,7305,2.72
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,8.121393394470214,-265.0286066055298,250,7305,3.42
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,8.121393394470214,-265.0286066055298,287,7305,3.93
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,8.121393394470214,-265.0286066055298,93,7305,1.27
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,8.121393394470214,-265.0286066055298,116,7305,1.59
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,8.121393394470214,-265.0286066055298,134,7305,1.83
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,41,7305,0.56
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,81,7305,1.11
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,79,7305,1.08
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,8.121393394470214,-265.0286066055298,99,7305,1.36
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,8.121393394470214,-265.0286066055298,199,7305,2.72
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,8.121393394470214,-265.0286066055298,250,7305,3.42
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,8.121393394470214,-265.0286066055298,287,7305,3.93
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,8.121393394470214,-265.0286066055298,93,7305,1.27
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2031-2050,8.121393394470214,-265.0286066055298,116,7305,1.59
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2041-2060,8.121393394470214,-265.0286066055298,134,7305,1.83
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,historical,1995-2014,8.121393394470214,-265.0286066055298,114,7305,1.56
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,8.121393394470214,-265.0286066055298,194,7305,2.66
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,8.121393394470214,-265.0286066055298,202,7305,2.77
