linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,6.109219471957822,2021,7305,1,27.67
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,6.109219471957822,2183,7305,1,29.88
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,6.109219471957822,1165,7305,1,15.95
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2031-2050,6.109219471957822,1379,7305,1,18.88
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2041-2060,6.109219471957822,1541,7305,1,21.1
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,historical,1995-2014,6.408857801590257,1138,7305,3,15.58
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,6.408857801590257,1505,7305,3,20.6
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,6.408857801590257,1520,7305,3,20.81
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,6.408857801590257,1559,7305,3,21.34
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,6.408857801590257,1894,7305,3,25.93
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,6.408857801590257,2081,7305,3,28.49
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,6.408857801590257,2227,7305,3,30.49
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,6.408857801590257,1479,7305,3,20.25
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,6.408857801590257,1652,7305,3,22.61
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,6.408857801590257,1768,7305,3,24.2
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,historical,1995-2014,6.6051290862354595,886,7305,2,12.13
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2021-2040,6.6051290862354595,1235,7305,2,16.91
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2031-2050,6.6051290862354595,1225,7305,2,16.77
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2041-2060,6.6051290862354595,1252,7305,2,17.14
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2021-2040,6.6051290862354595,1438,7305,2,19.69
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2031-2050,6.6051290862354595,1481,7305,2,20.27
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2041-2060,6.6051290862354595,1575,7305,2,21.56
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2021-2040,6.6051290862354595,1162,7305,2,15.91
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2031-2050,6.6051290862354595,1330,7305,2,18.21
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2041-2060,6.6051290862354595,1476,7305,2,20.21
LT 88 kV CANOAS II / DECASA C 1 SP,historical,1995-2014,6.642035007476807,731,7305,1,10.01
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2021-2040,6.642035007476807,1026,7305,1,14.05
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2031-2050,6.642035007476807,1024,7305,1,14.02
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2041-2060,6.642035007476807,1057,7305,1,14.47
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2021-2040,6.642035007476807,1235,7305,1,16.91
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2031-2050,6.642035007476807,1285,7305,1,17.59
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2041-2060,6.642035007476807,1383,7305,1,18.93
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2021-2040,6.642035007476807,991,7305,1,13.57
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2031-2050,6.642035007476807,1130,7305,1,15.47
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2041-2060,6.642035007476807,1239,7305,1,16.96
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,historical,1995-2014,6.642035007476807,731,7305,1,10.01
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,6.642035007476807,1026,7305,1,14.05
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,6.642035007476807,1024,7305,1,14.02
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,6.642035007476807,1057,7305,1,14.47
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,6.642035007476807,1235,7305,1,16.91
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,6.642035007476807,1285,7305,1,17.59
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,6.642035007476807,1383,7305,1,18.93
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,6.642035007476807,991,7305,1,13.57
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,6.642035007476807,1130,7305,1,15.47
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,6.642035007476807,1239,7305,1,16.96
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,historical,1995-2014,6.1890313438017595,1071,7305,2,14.66
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2021-2040,6.1890313438017595,1257,7305,2,17.21
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2031-2050,6.1890313438017595,1337,7305,2,18.3
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2041-2060,6.1890313438017595,1331,7305,2,18.22
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2021-2040,6.1890313438017595,1857,7305,2,25.42
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2031-2050,6.1890313438017595,2101,7305,2,28.76
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2041-2060,6.1890313438017595,2264,7305,2,30.99
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2021-2040,6.1890313438017595,1330,7305,2,18.21
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2031-2050,6.1890313438017595,1516,7305,2,20.75
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2041-2060,6.1890313438017595,1675,7305,2,22.93
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,historical,1995-2014,6.408857801590257,1138,7305,3,15.58
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2021-2040,6.408857801590257,1505,7305,3,20.6
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2031-2050,6.408857801590257,1520,7305,3,20.81
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2041-2060,6.408857801590257,1559,7305,3,21.34
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2021-2040,6.408857801590257,1894,7305,3,25.93
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2031-2050,6.408857801590257,2081,7305,3,28.49
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2041-2060,6.408857801590257,2227,7305,3,30.49
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2021-2040,6.408857801590257,1479,7305,3,20.25
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2031-2050,6.408857801590257,1652,7305,3,22.61
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2041-2060,6.408857801590257,1768,7305,3,24.2
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,historical,1995-2014,6.642035007476807,731,7305,1,10.01
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,6.642035007476807,1026,7305,1,14.05
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,6.642035007476807,1024,7305,1,14.02
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,6.642035007476807,1057,7305,1,14.47
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,6.642035007476807,1235,7305,1,16.91
