linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,306.9243070713564,33.77430707135642,731,7305,1,10.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,306.9243070713564,33.77430707135642,743,7305,1,10.17
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,306.9243070713564,33.77430707135642,920,7305,1,12.59
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,306.9243070713564,33.77430707135642,937,7305,1,12.83
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,306.9243070713564,33.77430707135642,1010,7305,1,13.83
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,306.9243070713564,33.77430707135642,1280,7305,1,17.52
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,306.9243070713564,33.77430707135642,1551,7305,1,21.23
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,306.9243070713564,33.77430707135642,1067,7305,1,14.61
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,306.9243070713564,33.77430707135642,1191,7305,1,16.3
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,306.9243070713564,33.77430707135642,1461,7305,1,20.0
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,310.9132954248596,37.76329542485962,878,7305,2,12.02
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,310.9132954248596,37.76329542485962,982,7305,2,13.44
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,310.9132954248596,37.76329542485962,1120,7305,2,15.33
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,310.9132954248596,37.76329542485962,1082,7305,2,14.81
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,310.9132954248596,37.76329542485962,1053,7305,2,14.41
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,310.9132954248596,37.76329542485962,1167,7305,2,15.98
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,310.9132954248596,37.76329542485962,1397,7305,2,19.12
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,310.9132954248596,37.76329542485962,1106,7305,2,15.14
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,310.9132954248596,37.76329542485962,1237,7305,2,16.93
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,310.9132954248596,37.76329542485962,1357,7305,2,18.58
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,310.49829134703197,37.34829134703199,731,7305,1,10.01
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,310.49829134703197,37.34829134703199,752,7305,1,10.29
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,310.49829134703197,37.34829134703199,889,7305,1,12.17
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,310.49829134703197,37.34829134703199,892,7305,1,12.21
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,310.49829134703197,37.34829134703199,829,7305,1,11.35
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,310.49829134703197,37.34829134703199,1007,7305,1,13.79
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,310.49829134703197,37.34829134703199,1197,7305,1,16.39
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,310.49829134703197,37.34829134703199,894,7305,1,12.24
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,310.49829134703197,37.34829134703199,1009,7305,1,13.81
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,310.49829134703197,37.34829134703199,1111,7305,1,15.21
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,309.7499425796898,36.59994257968981,731,7305,1,10.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,309.7499425796898,36.59994257968981,727,7305,1,9.95
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,309.7499425796898,36.59994257968981,837,7305,1,11.46
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,309.7499425796898,36.59994257968981,863,7305,1,11.81
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,309.7499425796898,36.59994257968981,809,7305,1,11.07
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,309.7499425796898,36.59994257968981,1000,7305,1,13.69
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,309.7499425796898,36.59994257968981,1191,7305,1,16.3
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,309.7499425796898,36.59994257968981,889,7305,1,12.17
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,309.7499425796898,36.59994257968981,966,7305,1,13.22
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,309.7499425796898,36.59994257968981,1087,7305,1,14.88
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,309.7499425796898,36.59994257968981,731,7305,1,10.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,309.7499425796898,36.59994257968981,727,7305,1,9.95
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,309.7499425796898,36.59994257968981,837,7305,1,11.46
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,309.7499425796898,36.59994257968981,863,7305,1,11.81
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,309.7499425796898,36.59994257968981,809,7305,1,11.07
