linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,2,7305,0.03
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,7,7305,0.1
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,11,7305,0.15
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,4,7305,0.05
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,7,7305,0.1
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,historical,1995-2014,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,1,7305,0.01
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,2,7305,0.03
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,7,7305,0.1
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,11,7305,0.15
