linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,308.16574049632936,35.015740496329386,366,7305,1,5.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,308.16574049632936,35.015740496329386,403,7305,1,5.52
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,308.16574049632936,35.015740496329386,503,7305,1,6.89
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,308.16574049632936,35.015740496329386,487,7305,1,6.67
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,308.16574049632936,35.015740496329386,527,7305,1,7.21
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,308.16574049632936,35.015740496329386,733,7305,1,10.03
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,308.16574049632936,35.015740496329386,968,7305,1,13.25
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,308.16574049632936,35.015740496329386,566,7305,1,7.75
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,308.16574049632936,35.015740496329386,653,7305,1,8.94
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,308.16574049632936,35.015740496329386,789,7305,1,10.8
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,312.3246798668806,39.17467986688064,453,7305,2,6.2
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,312.3246798668806,39.17467986688064,537,7305,2,7.35
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,312.3246798668806,39.17467986688064,632,7305,2,8.65
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,312.3246798668806,39.17467986688064,579,7305,2,7.93
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,312.3246798668806,39.17467986688064,499,7305,2,6.83
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,312.3246798668806,39.17467986688064,593,7305,2,8.12
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,312.3246798668806,39.17467986688064,779,7305,2,10.66
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,312.3246798668806,39.17467986688064,614,7305,2,8.41
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,312.3246798668806,39.17467986688064,677,7305,2,9.27
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,312.3246798668806,39.17467986688064,749,7305,2,10.25
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,311.9626885541706,38.81268855417062,366,7305,1,5.01
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,311.9626885541706,38.81268855417062,397,7305,1,5.43
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,311.9626885541706,38.81268855417062,455,7305,1,6.23
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,311.9626885541706,38.81268855417062,428,7305,1,5.86
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,311.9626885541706,38.81268855417062,376,7305,1,5.15
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,311.9626885541706,38.81268855417062,482,7305,1,6.6
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,311.9626885541706,38.81268855417062,640,7305,1,8.76
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,311.9626885541706,38.81268855417062,452,7305,1,6.19
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,311.9626885541706,38.81268855417062,502,7305,1,6.87
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,311.9626885541706,38.81268855417062,578,7305,1,7.91
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,311.4339508427445,38.2839508427445,366,7305,1,5.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,311.4339508427445,38.2839508427445,374,7305,1,5.12
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,311.4339508427445,38.2839508427445,439,7305,1,6.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,311.4339508427445,38.2839508427445,416,7305,1,5.69
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,311.4339508427445,38.2839508427445,353,7305,1,4.83
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,311.4339508427445,38.2839508427445,485,7305,1,6.64
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,311.4339508427445,38.2839508427445,640,7305,1,8.76
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,311.4339508427445,38.2839508427445,442,7305,1,6.05
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,311.4339508427445,38.2839508427445,481,7305,1,6.58
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,311.4339508427445,38.2839508427445,566,7305,1,7.75
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,311.4339508427445,38.2839508427445,366,7305,1,5.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,311.4339508427445,38.2839508427445,374,7305,1,5.12
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,311.4339508427445,38.2839508427445,439,7305,1,6.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,311.4339508427445,38.2839508427445,416,7305,1,5.69
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,311.4339508427445,38.2839508427445,353,7305,1,4.83
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,311.4339508427445,38.2839508427445,485,7305,1,6.64
