linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,312.85689208984377,39.70689208984379,14,7305,0.19
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,13,7305,0.18
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,19,7305,0.26
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,13,7305,0.18
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,6,7305,0.08
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,17,7305,0.23
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,27,7305,0.37
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,6,7305,0.08
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,312.85689208984377,39.70689208984379,14,7305,0.19
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,312.85689208984377,39.70689208984379,20,7305,0.27
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,312.85689208984377,39.70689208984379,337,7305,4.61
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,431,7305,5.9
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,498,7305,6.82
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,438,7305,6.0
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,365,7305,5.0
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,431,7305,5.9
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,589,7305,8.06
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,456,7305,6.24
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,312.85689208984377,39.70689208984379,491,7305,6.72
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,312.85689208984377,39.70689208984379,539,7305,7.38
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,312.85689208984377,39.70689208984379,223,7305,3.05
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,233,7305,3.19
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,286,7305,3.92
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,259,7305,3.55
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,211,7305,2.89
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,273,7305,3.74
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,373,7305,5.11
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,269,7305,3.68
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,312.85689208984377,39.70689208984379,288,7305,3.94
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,312.85689208984377,39.70689208984379,336,7305,4.6
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,312.85689208984377,39.70689208984379,163,7305,2.23
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,183,7305,2.51
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,235,7305,3.22
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,210,7305,2.87
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,174,7305,2.38
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,243,7305,3.33
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,328,7305,4.49
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,219,7305,3.0
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,312.85689208984377,39.70689208984379,240,7305,3.29
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,312.85689208984377,39.70689208984379,273,7305,3.74
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,312.85689208984377,39.70689208984379,163,7305,2.23
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,183,7305,2.51
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,235,7305,3.22
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,210,7305,2.87
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,174,7305,2.38
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,243,7305,3.33
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,328,7305,4.49
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,219,7305,3.0
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2031-2050,312.85689208984377,39.70689208984379,240,7305,3.29
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2041-2060,312.85689208984377,39.70689208984379,273,7305,3.74
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,historical,1995-2014,312.85689208984377,39.70689208984379,288,7305,3.94
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,312.85689208984377,39.70689208984379,281,7305,3.85
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,312.85689208984377,39.70689208984379,353,7305,4.83
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,312.85689208984377,39.70689208984379,331,7305,4.53
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,312.85689208984377,39.70689208984379,275,7305,3.76
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,312.85689208984377,39.70689208984379,369,7305,5.05
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,312.85689208984377,39.70689208984379,500,7305,6.84
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,312.85689208984377,39.70689208984379,342,7305,4.68
