linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,310.94466705322264,37.79466705322267,64,7305,0.88
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,310.94466705322264,37.79466705322267,62,7305,0.85
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,310.94466705322264,37.79466705322267,96,7305,1.31
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,310.94466705322264,37.79466705322267,72,7305,0.99
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,310.94466705322264,37.79466705322267,59,7305,0.81
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,310.94466705322264,37.79466705322267,102,7305,1.4
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,310.94466705322264,37.79466705322267,168,7305,2.3
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,310.94466705322264,37.79466705322267,53,7305,0.73
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,310.94466705322264,37.79466705322267,91,7305,1.25
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,310.94466705322264,37.79466705322267,154,7305,2.11
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,310.94466705322264,37.79466705322267,869,7305,11.9
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,310.94466705322264,37.79466705322267,974,7305,13.33
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,310.94466705322264,37.79466705322267,1111,7305,15.21
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,310.94466705322264,37.79466705322267,1068,7305,14.62
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,310.94466705322264,37.79466705322267,1037,7305,14.2
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,310.94466705322264,37.79466705322267,1144,7305,15.66
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,310.94466705322264,37.79466705322267,1374,7305,18.81
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,310.94466705322264,37.79466705322267,1102,7305,15.09
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,310.94466705322264,37.79466705322267,1226,7305,16.78
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,310.94466705322264,37.79466705322267,1344,7305,18.4
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,310.94466705322264,37.79466705322267,605,7305,8.28
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,310.94466705322264,37.79466705322267,609,7305,8.34
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,310.94466705322264,37.79466705322267,730,7305,9.99
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,310.94466705322264,37.79466705322267,737,7305,10.09
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,310.94466705322264,37.79466705322267,671,7305,9.19
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,310.94466705322264,37.79466705322267,810,7305,11.09
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,310.94466705322264,37.79466705322267,1006,7305,13.77
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,310.94466705322264,37.79466705322267,742,7305,10.16
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,310.94466705322264,37.79466705322267,839,7305,11.49
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,310.94466705322264,37.79466705322267,924,7305,12.65
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,310.94466705322264,37.79466705322267,461,7305,6.31
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,310.94466705322264,37.79466705322267,467,7305,6.39
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,310.94466705322264,37.79466705322267,531,7305,7.27
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,310.94466705322264,37.79466705322267,529,7305,7.24
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,310.94466705322264,37.79466705322267,453,7305,6.2
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,310.94466705322264,37.79466705322267,604,7305,8.27
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,310.94466705322264,37.79466705322267,780,7305,10.68
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,310.94466705322264,37.79466705322267,535,7305,7.32
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,310.94466705322264,37.79466705322267,593,7305,8.12
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,310.94466705322264,37.79466705322267,701,7305,9.6
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,310.94466705322264,37.79466705322267,461,7305,6.31
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,310.94466705322264,37.79466705322267,467,7305,6.39
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,310.94466705322264,37.79466705322267,531,7305,7.27
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,310.94466705322264,37.79466705322267,529,7305,7.24
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,310.94466705322264,37.79466705322267,453,7305,6.2
